Index,FullClassPath,SubClassPath,SpeculativeGenerality,BaseClassKnowsDerivedClass,MessageChains,LongParameterList,SpaghettiCode,BaseClassShouldBeAbstract,LongMethod,ClassDataShouldBePrivate,TraditionBreaker,ManyFieldAttributesButNotComplex,RefusedParentBequest,SwissArmyKnife,Blob,AntiSingleton,ComplexClass,LargeClass,FunctionalDecomposition,LazyClass,label,cluster
1518,org.gjt.sp.jedit.menu.RecentFilesProvider,jedit.menu.RecentFilesProvider,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
1519,org.gjt.sp.jedit.bsh.org.objectweb.asm.ByteVector,jedit.bsh.org.objectweb.asm.ByteVector,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
1520,org.gjt.sp.jedit.bsh.BSHBinaryExpression,jedit.bsh.BSHBinaryExpression,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,Service Provider,7
1521,org.gjt.sp.jedit.buffer.LineManager,jedit.buffer.LineManager,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,Service Provider,8
1522,org.gjt.sp.jedit.textarea.ScrollLayout,jedit.textarea.ScrollLayout,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider,7
1523,org.gjt.sp.jedit.SplitConfigParser,jedit.SplitConfigParser,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider,7
1524,org.gjt.sp.jedit.pluginmgr.PluginManager,jedit.pluginmgr.PluginManager,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
1525,org.gjt.sp.jedit.gui.SelectLineRange,jedit.gui.SelectLineRange,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Service Provider,7
1526,org.gjt.sp.jedit.options.ToolBarOptionPane,jedit.options.ToolBarOptionPane,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Information Holder,7
1527,org.gjt.sp.jedit.gui.DefaultInputHandler,jedit.gui.DefaultInputHandler,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider,7
1528,org.gjt.sp.jedit.syntax.TokenMarker,jedit.syntax.TokenMarker,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider,7
1529,org.gjt.sp.jedit.indent.DeepIndentRule,jedit.indent.DeepIndentRule,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
1530,org.gjt.sp.jedit.options.GeneralOptionPane,jedit.options.GeneralOptionPane,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Information Holder,7
1531,org.gjt.sp.jedit.browser.VFSFileChooserDialog,jedit.browser.VFSFileChooserDialog,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider,7
1532,org.gjt.sp.jedit.bsh.BSHAssignment,jedit.bsh.BSHAssignment,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,Service Provider,7
1533,org.gjt.sp.jedit.gui.FilesChangedDialog,jedit.gui.FilesChangedDialog,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,Service Provider,7
1534,org.gjt.sp.jedit.bsh.LHS,jedit.bsh.LHS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
